resilientSolutionsID;Name;Description;references
EETK1;SNBP;Simple Naive Bayes Prediction model (SNBP model) is a technique to remove unnecessary and redundant data, which saves he energy to be used for transmission of data in Wireless Sensor Networks and increases the life of network as data for  ransmission is reduced which saves that energy of sensor nodes.;P70
EETK2;INBP;| Incremental Naive Bayes Prediction model (INBP model) is a technique that apply data reductionto remove data redundancy in wSN, increase life of network and save energy of WSN. INBP isfocused on prediction approach for weather forecasting in WSN with several data attributes to remove data redundancy and save the energy of sensor nodes. More details can he foundat;P71
EETK3;Energy Efficient Routing Protocol;Routing Protocols in the network layer is a techniques for designing low-power systems based on fixed hardware platforms for improving energy efficiency in WSN. More details can be found atp72;P72
EETK4;Energy Efficient MAC Protocol;Scheduling and Contention Protocols in the MAC layer is a techniques for designing low-powersystems based on fixed hardware platforms for improving energy efficiency in WSN. More details can be found at [p73];P73
EETK5;Energy Efficient Data Aggregation technique;Energy Efficient Data Aggregation technique is a energy efficient routing protocol for WirelesSSensor Networks which is energy efficient and reliable. This technique is based on cluster formation and the loss ratios of the clusters are measured so that the energy consumption can be effectively reduced. Reliable transmission can be provided in the clusters using a coordinate node. More details can be found at [p74,p75];P74,P75
RTK1;Data Redundancy;The most common scenarios of redundancy in information systems are data redundancy.All forms of data can be redundant -- files, databases, and objects in memory. Data and its replications can reside in the same machine or in different locations across machines, networks, and geographical areas. In a server-client system, data and its replications can all be on server side, or some on server side and some on client side, for example, client-side cache. Redundancy of data increases data's availability in case of failures due to unexpected heavy load, data node failures or lost connection between client and server;P76
RTK2;Processing Redundancy;Similar to data elements, processing elements can also be redundant in a system. This form of redundancy is also very common in enterprise information systems, for example, clustering of web servers and application servers. However, redundancy of processing elements is more difficult than data elements because of the problem of state. If a processing element needs to maintain state for an undergoing computation task, then it is difficult to make the processing element truly redundant. For if the processing element fails, there is no way to recover the task state that only exists in that element. There are two approaches to addressing this problem -- to make the task stateless or to restart the whole task from its initial state in case of failure;P76
RTK3;Element Replication;A common way to achieve redundancy is to create replicas of an element. The structure and functionality of a replica are exactly the same as that element so that they can substitute each other without problem. Follows some ways of implementing redundancy using [p87]: Design for failure: Acquiring more resources than needed and replace failed ones (DC A.8).Allowing component replication: State-machine (active) replication (DC A.11), Transactional replication (DC A.12), Virtual synchrony (DCA 13);P76,P87
RTK4;Hardware Clustering; High-availability clustering is a technique for protecting against failures by mirroring the whole computer rather than just a disk. In a clustered configuration, two or more identical computers (referred to as.nodes) are deployed in parallel and share the total workload between them. If any one of the nodes fails, one of the remaining nodes takes over its workload and processing can continue (although the transactions in progress at the failed node may have to be resubmitted) This process is known as failover. Follows some ways of implementing it using [p87]: VE Resolution location-oriented (DCA.1), VE Resolution domain-oriented (DC A.2), VE Resolution Semantic Web-oriented (DCA.3), VE Resolution Peer-to-Peer-oriented (DC A4);P87,P88
RTK5;Relaxing Transactional Consistency;To follow this tactic the loT-A recommend the use of the 'BASE architecture (DC A.14). The BASE (Basically Available, Soft-state, Eventually consistent) architecture' is applicable in systems supporting distributed transactions with optimistic replication strategy. In this approach replicas of information are sent through a distributed system via transactions and eventual consistency' among the replicas is achieved by either the update reaches the replica or the replica retires from service. BASE requires some conflict resolution functionality and additional system resources in order to find failure in transactions. The approach is applicable for hiah performance desians.;p87
RTK6;Redundant Disk Architectures;Redundant disk architectures (such as RAID 1 or mirored disks) are a particularly common example. RAID (Redundant Array of Inexpensive or Independent Disks) architectures are available in a variety of configurations, known as RAID levels, which variously provide resilience through mimoring, improved performance through striping, and/or error correction. As shown in the diagram below, disk writes are applied to each side of the mirror, whereas reads come from only one side (or in some configurations, whichever side can return the information with the least amount of head movement). If either disk fails, the other can continue on its own until the faulty disk is replaced and resynchronized.;P88
RTK7;Redundant Power Supply Techniques;Redundant power is a critical component in high availability systems. In the simplest solution, two power supplies can drive a load through diodes to OR their outputs together. In this way, the power supplies can either share the load or have one active and the other in standby. A field effect transistor (FET) ORing controller is a more practical solution because it avoids the diode voltage drop, power Ioss and heat dissipation. More creative and economical systems can be configured with the low voltage loss MOSFET. Examples of redundant power supply Lconfiaurations farsen/er annlications are discussedin IP771;P77
RTK8;N-Version Programming;At least two programs or components are independently developed for the same specification in n-version programming. Different versions are sensitive to different system failures because of their inter-independence, and therefore n-version programming can make a system tolerant to more unexpected failures.;P76
RTK9;Serendipitous Redundancy by Reuse;Serendipitous redundancy happens whenthe function of a failed component can be partially substituted with a different component that was designed to achieve a totally different goal from the failed one. Serendipitous redundancy is possible only if (1) those two components share some common functionality, and (2) their interfaces to provide the common functionality are the same.;P76
SPTK1;Intrusion Prevention System;To follow this tactic the Cumulative-Sum-based Intrusion Prevention System (CSIPS). can be applied. It which detects maliciov behaviors, attacks and distnbuted attacks launched to remote cients and local hosts based on the Cumulative Sum (CUSUM) algorithm p3) In addition to the use of IPS the (p7] describes the use of Intrusion Detection Systems (1DS) techniques propose for detecting the presence ofjammers and numerous mechanisms which attempt to protect the network from jamming attacks.;P5,P7
SPKT2;Source Bootstrapping;Bootstrapping is a process in which one device is associated or connected with a part of network or similar devices. During the bootstrapping phase, a unique identity and other security parameters are associated with each device thing. Secure bootstrapping ensures that only authenticated devices access the network. The simplest mechanism for carying out the initial setup (security parameters, node identity) is via physical interface (USB, wire, chip contact, etc.). Wireless bootstrapping may lead to eavesdropping although it can be avoided by using advanced cryptographic mechanisms which provide confidentiality. To optimize the key distribution mechanism, several key management schemes have been proposed in literature for WSNs [p6], to support secure communication and authentication among WSNs devices.;P6
SPTK3;Smart Antennas;The p[47] proposed the use ot smart antennas against malicious eavesdroppers. The p[47] proposed a suite ot strategies that use arays of amays to provide considerable reductions in the exposure region. Exposure region that refers to the area within which an eavesdropper can access and decode the signals being transmitted. More details in [p47].;P47
SPTK4;Data Cryptography;Like traditional networks, Wireless sensorS applications require protection against eavesdropping. alteration, and packet injection. In order to achieve this protection, data cryptography can prevent these security issues. The p48] describes countermeasures that can be applyıed to IoT.;p48
SPTK5;Source Booting in Physical Layer;Authentication and the integrity of the software on the device should be verified using cryptographic hash algorithms, which would provide digital signatures. However, because of the low processing power on most of the devices and their need for ultra-low power consumption most cryptographic hash algorithms cannot be implemented, apart from NH and WH cryptographic hash functions that are optimal for ultra-low power consumption devices.;P60
SPTK6;Device Authentication in Physical Layer;When a new device is introduced to the network, it should authenticate itself before receiving or transmitting data, to ensure it is identified corectly betore authorization and keeping malicious devices out of the system.;P60
SPTK7;Data Integrity in Physical Layer;Eror detection mechanisms should be provided at each device, to ensure no tampering of sensitive data occurs. Low power consumption mechanisms like Cyclic Redundancy Checks (CRC), Checksum, Parity Bit are prefered, but for more secure eror detection method WH cryptographic hash function should be applied.;P60
SPTK8;Data Confidentiality in Physical Layer;All RFID Tags, IDs and data should be encrypted on each device before transmission of data to ensure contidentiality. However, because of the ultra-low power consumption, strong cryptographic encryption functions like AES cannot be implemented. Instead Blowfish or RSA have lower power consumption and less processing power and can be successfully implemented on the physical layer devices.;P60
SPTK9;Anonimity in Physical Layer;In some cases hiding sensitive infomation like the location and identity of nodes is crucial. Although Zero-Knowledge approach would be the optimal solution for anonymity, it cannot be implemented on low power device as it is a very strong algorithm and needs a lot of processing power, hence K-Anonymity approach best fits the job for low power devices such as the devices used in an IoT system.;P60
SPTK10;Data Privacy in Network Layer;Illegal access to the sensor nodes can be prevented, using authentication mechanisms and point to point encryption.;P60
SPTK11;Routing Security in Network Layer;Secure routing is vital to the acceptance and use of sensor networks for many applications, but the majority of used routing protocols are insecure. However, security of routing can be ensured by providing multiple paths for the data routing which improves the ability of the system to detect an error and keep performing upon any known of failure in the system. Also, encryption and authentication mechanisms increase the security level of routing data.;P60
SPTK12;Data Integrity in Network Layer;Using cryptographic hash functions, the integrity of the data received on the other end is confimed. In case of prove of tampering of data, error correction mechanisms could be introduced to mitigate the problem.;P60
SPTK13;Data Security in App Layer;Authentication Encryption and integrity mechanisms are citical at this level for insuring the privacy of the whole system and protecting against data theft, it prevents unauthorized access to the system and ensures the confidentiality of the system data.;P60
SPTK14;Access Control Lists in App Layer;Setting up policies and pemissions of who can access and control the lol system, is a crucial part as this ensures the privacy of the data, and the well being of the system. ACLs can block or allow incoming or out going traffic, and give or block access to requests rom different users inside or outside of the network.;P60
SPTK15;Firewalls in App Layer;This is an extra effective layer of security that will help block attacks that authentication, encryption and ACLs would failed to do so. Authentication and encryption passwords can be broken if weak passwords were selected. A firewall can filter packets as they are received, blocking unwanted packets, unfriendly login attempts, and DoS attacks before even authentication process begins.;P60
SPTK16;Anti-Virus, Anti-Spyware and Anti-Adware in App Layer;Secunty software like antivirus or anti spyware is important for the reliability, security, integnty and confidentiality of the IoT system.;P60
SPTK17;Autonomic Cyber Security Management Framework;To follow this article the [p8] can be applied. This work introduces an autonomic model-based cyber security management approach for the Internet ot Things (IoT) ecosystems. The approach aims at realizing a self-protecting system, which has the ability to autonomously estimate, detect, and react to cyber attacks at an early stage. The approach integrates various model-based techniques including: 1) real-time estimation and baseline security controls to predict and eliminate potential cyber attacks. 2) Data analysis to indentify and classify attacks, and 3) a multicriteria  ptimization method to select the optimal active response for deploying countemeasures while maintaining system functions. The prototype framework has been developed with a master controller virtual machine, which can be configured for various platfoms. Besides estimating, detecting, and protecting against known attacks, the approach can also learn signatures of unknown attacks in real time. Unknown attacks are identified for future protection by updating detection algorithms with the underlying signatures. In our framework design, the main protection modules are installed on the MC-VM, which ensures that the self-protection mechanism continues to work even if the underlying system is compromised. A multitier web application case study is presented. Our self-protecting system successfully secured the web application from various known and unknown attacks. Below is a figure of main components of the autonomic security management framework. More details in [p8].;P8
SPTK18;Classical Countermeasures for Self Protection;Security solutions have been classified as either self-protecting or self-healing, in relation to the autonomic mechanism used for mitigation. Self-protecting solutions tollow a passive approach and attempt to prevent security threats betrore they happen. Ihis is done using various cryptographic techniques, with the knowledge of how common attacks are executed. In the case of self-healing solutions, the specific counter-measures for mitigation are taken only after the attack has been detected. Reactive measures are easier to achieve than protective measures, as typically the attacks aim confidentiality, integrity, availability, authenticity or privacy. Nevertheless, it is important to include protective mechanisms as well supplementing the reactive mechanisms, resulting in what we call as hybrid schemes. In p[15] is presented countemeasures;P15
